Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Adamantina,29671,27915,5839,878,64302
Adolfo,3776,3654,962,77,8129
Aguaí,27628,25817,3577,1043,62124
Agudos,32580,29228,4116,873,70296
Alambari,4704,4439,643,171,9556
Alfredo Marcondes,3894,3815,934,84,7541
Altair,2905,2833,555,115,7102
Altinópolis,13818,13257,2577,384,31155
Alto Alegre,3380,3280,680,100,7799
Alumínio,14107,13327,1719,508,30356
Alvinlândia,2509,2447,366,68,5735
Americana,193129,170895,24580,6210,417899
Amparo,60621,56522,9440,1758,130231
Américo Brasiliense,28486,25923,4017,1088,69505
Américo De Campos,4867,4757,952,125,10810
Analândia,3756,3425,492,120,8171
Andradina,47849,43886,7367,1294,102785
Angatuba,19476,17395,2252,477,38927
Anhembi,5225,4765,771,148,12427
Anhumas,3291,3224,481,83,7276
Aparecida,27998,25265,3248,926,60934
Aparecida D'Oeste,3772,3683,778,78,8130
Apiaí,19864,18341,2359,516,41713
Aramina,4454,4340,688,134,10728
Arandu,5360,5077,782,155,11001
Arapeí,2080,1992,380,59,4485
Araraquara,200044,182943,29293,6067,420765
Araras,109017,102454,18442,3812,224973
Araçariguama,17717,15425,1317,588,36135
Araçatuba,163861,147539,24095,4810,351517
Araçoiaba Da Serra,26772,24309,3513,816,56499
Arco-Íris,1701,1679,569,30,3846
Arealva,7023,6661,1273,194,15128
Areias,3132,2932,460,71,6697
Areiópolis,7886,7320,760,311,18112
Ariranha,6713,6572,1347,258,15892
Artur Nogueira,42634,39352,4531,1510,90026
Arujá,70202,64458,6677,2311,155105
Aspásia,1627,1580,375,15,3455
Assis,83055,75821,13206,2146,181167
Atibaia,126454,112176,18236,3537,286901
Auriflama,11230,10750,2078,352,25984
Avanhandava,9762,9207,982,225,21205
Avaré,76849,70049,12530,2118,163465
Avaí,4289,4119,1053,40,9610
Bady Bassitt,17036,15867,1866,400,37021
Balbinos,4564,4421,627,52,12275
Bananal,8637,7820,1381,263,20701
Barbosa,5293,4763,760,115,11382
Bariri,25829,23719,4114,830,55383
Barra Bonita,29337,28795,5186,980,63167
Barra Do Chapéu,4450,4194,505,115,10136
Barra Do Turvo,6316,5367,932,96,14830
Barretos,104029,95800,17744,2723,229573
